,0
0,48.5
1,50.5
2,49.5
3,49.5
4,49.0
5,48.0
6,48.0
7,57.5
8,57.5
9,57.0
10,56.5
11,56.5
12,56.5
13,56.5
14,56.5
15,56.5
16,56.0
17,56.0
18,55.0
19,55.0
20,54.0
21,55.0
22,53.5
23,51.5
24,51.0
25,52.5
26,50.5
27,50.5
28,50.0
29,50.0
30,50.0
31,24.0
32,54.5
33,44.0
34,40.5
35,33.5
36,32.0
37,31.5
38,24.375
39,29.0625
40,30.9375
41,29.0625
42,30.0
43,29.0625
44,67.5
45,67.5
46,66.5625
47,65.625
48,65.625
49,64.6875
50,47.8125
51,59.0625
52,33.75
53,45.0
54,43.125
55,13.0
56,10.0
57,12.5
58,13.0
59,13.5
60,13.5
61,13.5
62,14.0
63,14.5
64,14.5
65,14.5
66,56.0
67,55.5
68,53.0
69,51.0
70,50.0
71,48.0
72,64.6875
73,64.6875
74,64.6875
75,64.6875
76,63.75
77,64.6875
78,64.6875
79,64.6875
80,65.625
81,64.6875
82,65.625
83,64.6875
84,64.6875
85,47.8125
86,48.75
87,46.875
88,46.875
89,45.9375
90,45.9375
91,45.0
92,44.0625
93,45.0
94,45.0
95,45.0
96,43.0
97,46.5
98,47.5
99,47.5
100,48.0
101,49.0
102,49.0
103,50.0
104,50.5
105,51.0
106,52.0
107,53.0
108,53.5
109,54.0
110,23.5
111,42.5
112,45.0
113,45.0
114,40.5
115,40.5
116,41.5
117,41.5
118,41.5
119,42.0
120,42.5
121,18.5
122,18.5
123,19.0
124,19.0
125,19.0
126,27.5
127,26.5
128,25.5
129,25.0
130,24.5
131,25.0
132,24.5
133,24.5
134,24.0
135,14.0
136,14.5
137,14.0
138,14.0
139,14.0
140,60.9375
141,60.0
142,60.0
143,60.0
144,59.0625
145,57.1875
146,56.25
147,56.25
148,55.3125
149,54.375
150,54.375
151,52.5
152,50.625
153,47.8125
154,44.0625
155,44.0625
156,44.0625
157,43.125
158,38.4375
159,34.6875
160,24.375
161,43.125
162,57.1875
163,55.3125
164,54.375
165,51.5625
166,56.25
167,53.4375
168,50.625
169,35.625
170,58.0
171,57.0
172,57.5
173,56.5
174,56.0
175,56.5
176,56.0
177,55.5
178,56.0
179,56.0
180,20.5
181,20.5
182,21.0
183,21.5
184,21.5
185,22.0
186,22.5
187,48.0
188,47.5
189,47.5
190,48.0
191,48.0
192,47.5
193,48.0
194,47.5
195,47.5
196,47.5
197,47.5
198,47.0
199,45.5
200,46.0
201,45.5
202,47.5
203,48.0
204,47.0
205,41.5
206,50.0
207,50.0
208,50.5
209,50.5
210,52.5
211,53.0
212,53.0
213,53.5
214,54.0
215,54.0
216,54.5
217,55.0
218,55.5
219,56.0
220,56.5
221,56.5
222,56.5
223,56.5
224,56.5
225,56.5
226,56.5
227,56.0
228,55.5
229,56.0
230,31.5
231,32.0
232,34.5
233,42.5
234,53.5
235,66.0
236,24.5
237,61.875
238,61.875
239,62.8125
240,63.75
241,63.75
242,59.0625
243,67.5
244,66.5625
245,23.4375
246,24.375
247,24.375
248,23.4375
249,42.1875
250,48.75
251,56.25
252,51.5625
253,45.0
254,13.0
255,14.0
256,14.0
257,14.0
258,13.5
259,13.0
260,13.0
261,12.5
262,12.5
263,12.0
264,11.0
265,12.0
266,46.5
267,49.5
268,51.0
269,56.0
270,23.5
271,18.0
272,63.75
273,63.75
274,62.8125
275,63.75
276,62.8125
277,62.8125
278,62.8125
279,61.875
280,62.8125
281,62.8125
282,63.75
283,58.125
284,44.0625
285,43.125
286,42.1875
287,43.125
288,44.0625
289,42.1875
290,43.125
291,45.0
292,46.875
293,49.6875
294,47.8125
295,51.5
296,51.0
297,48.5
298,48.5
299,48.0
300,47.5
301,46.5
302,47.0
303,47.5
304,47.5
305,47.5
306,47.0
307,48.0
308,48.0
309,42.5
310,44.0
311,43.0
312,41.5
313,42.5
314,42.5
315,43.0
316,44.0
317,43.5
318,43.5
319,41.5
320,58.5
321,21.5
322,19.5
323,19.0
324,87.0
325,23.5
326,23.5
327,23.5
328,23.0
329,23.5
330,24.0
331,26.5
332,28.5
333,28.5
334,14.0
335,14.0
336,14.0
337,14.0
338,14.0
339,42.1875
340,64.6875
341,65.625
342,66.5625
343,66.5625
344,46.875
345,52.5
346,54.375
347,54.375
348,51.5625
349,57.1875
350,58.125
351,59.0625
352,60.0
353,60.0
354,60.0
355,60.0
356,61.875
357,35.625
358,50.625
359,54.375
360,49.6875
361,60.0
362,60.9375
363,55.3125
364,65.625
365,69.375
366,36.5625
367,39.375
368,42.1875
369,55.5
370,51.0
371,53.0
372,50.5
373,53.5
374,53.0
375,56.0
376,56.5
377,56.5
378,57.5
379,23.0
380,23.0
381,23.0
382,23.0
383,22.5
384,22.5
385,22.0
386,22.0
387,21.5
388,21.5
389,21.0
390,47.0
391,47.5
392,47.5
393,47.0
394,47.5
395,50.0
396,47.5
397,49.5
398,47.5
399,47.5
400,51.0
401,28.0
