,0
0,-501.54547207370047
1,-499.9733535444987
2,-498.401235015297
3,-496.8291164860952
4,-495.25699795689354
5,-493.6848794276917
6,-492.1127608984899
7,-490.54064236928826
8,-488.96852384008645
9,-487.39640531088475
10,-485.824286781683
11,-484.25216825248117
12,-482.68004972327947
13,-481.1079311940777
14,-479.535812664876
15,-477.9636941356742
16,-476.39157560647243
17,-474.8194570772707
18,-473.24733854806897
19,-471.67522001886726
20,-470.10310148966545
21,-468.5309829604637
22,-466.958864431262
23,-465.38674590206017
24,-463.8146273728585
25,-462.2425088436567
26,-460.6703903144549
27,-459.09827178525325
28,-457.52615325605143
29,-455.95403472684967
30,-454.38191619764797
31,-452.80979766844615
32,-451.23767913924445
33,-449.6655606100427
34,-448.0934420808409
35,-446.52132355163917
36,-444.9492050224374
37,-443.3770864932357
38,-441.80496796403395
39,-440.23284943483213
40,-438.66073090563043
41,-437.08861237642867
42,-435.51649384722697
43,-433.94437531802515
44,-432.3722567888234
45,-430.8001382596217
46,-429.2280197304199
47,-427.6559012012181
48,-426.0837826720164
49,-424.5116641428146
50,-422.93954561361295
51,-421.36742708441113
52,-419.7953085552094
53,-418.22319002600767
54,-416.65107149680586
55,-415.07895296760415
56,-413.5068344384024
57,-411.9347159092006
58,-410.36259737999893
59,-408.7904788507971
60,-407.2183603215954
61,-405.64624179239365
62,-404.07412326319184
63,-402.50200473399013
64,-400.9298862047884
65,-399.3577676755867
66,-397.78564914638486
67,-396.2135306171831
68,-394.6414120879814
69,-393.0692935587796
70,-391.49717502957793
71,-389.9250565003761
72,-388.35293797117436
73,-386.78081944197265
74,-385.20870091277084
75,-383.63658238356913
76,-382.0644638543674
77,-380.49234532516556
78,-378.92022679596386
79,-377.3481082667621
80,-375.7759897375604
81,-374.20387120835863
82,-372.6317526791568
83,-371.0596341499551
84,-369.48751562075336
85,-367.91539709155165
86,-366.34327856234984
87,-364.7711600331481
88,-363.1990415039464
89,-361.62692297474456
90,-360.0548044455429
91,-358.4826859163411
92,-356.91056738713934
93,-355.33844885793764
94,-353.7663303287358
95,-352.1942117995341
96,-350.62209327033236
97,-349.04997474113054
98,-347.47785621192884
99,-345.9057376827271
100,-344.3336191535254
101,-342.7615006243236
102,-341.1893820951218
103,-339.6172635659201
104,-338.04514503671834
105,-336.47302650751664
106,-334.9009079783148
107,-333.32878944911306
108,-331.75667091991124
109,-330.18455239070954
110,-328.6124338615079
111,-327.0403153323061
112,-325.46819680310426
113,-323.8960782739025
114,-322.3239597447008
115,-320.75184121549904
116,-319.17972268629734
117,-317.6076041570955
118,-316.03548562789376
119,-314.46336709869206
120,-312.89124856949024
121,-311.3191300402886
122,-309.7470115110868
123,-308.17489298188497
124,-306.6027744526833
125,-305.0306559234815
126,-303.4585373942798
127,-301.88641886507804
128,-300.3143003358762
129,-298.7421818066745
130,-297.17006327747276
131,-295.59794474827106
132,-294.02582621906924
133,-292.4537076898675
134,-290.8815891606658
135,-289.309470631464
136,-287.7373521022623
137,-286.1652335730605
138,-284.59311504385875
139,-283.02099651465704
140,-281.4488779854552
141,-279.8767594562535
142,-278.30464092705176
143,-276.73252239784995
144,-275.1604038686483
145,-273.5882853394465
146,-272.0161668102448
147,-270.444048281043
148,-268.8719297518412
149,-267.2998112226395
150,-265.72769269343775
151,-264.15557416423604
152,-262.5834556350342
153,-261.01133710583247
154,-259.43921857663076
155,-257.867100047429
156,-256.2949815182273
157,-254.7228629890255
158,-253.1507444598237
159,-251.5786259306219
160,-250.00650740142024
161,-248.43438887221853
162,-246.86227034301675
163,-245.29015181381496
164,-243.71803328461317
165,-242.14591475541147
166,-240.57379622620977
167,-239.00167769700798
168,-237.4295591678062
169,-235.8574406386044
170,-234.2853221094027
171,-232.71320358020103
172,-231.14108505099924
173,-229.56896652179745
174,-227.99684799259566
175,-226.42472946339396
176,-224.85261093419226
177,-223.28049240499047
178,-221.70837387578868
179,-220.1362553465869
180,-218.5641368173852
181,-216.99201828818352
182,-215.41989975898173
183,-213.84778122977994
184,-212.27566270057815
185,-210.70354417137645
186,-209.13142564217475
187,-207.55930711297296
188,-205.98718858377117
189,-204.41507005456938
190,-202.84295152536768
191,-201.270832996166
192,-199.69871446696422
193,-198.12659593776243
194,-196.55447740856064
195,-194.98235887935894
196,-193.41024035015724
197,-191.83812182095545
198,-190.26600329175366
