,0
0,0.0
1,1.875
2,3.75
3,5.625
4,7.5
5,9.375
6,11.25
7,13.125
8,15.0
9,16.875
10,18.75
11,20.625
12,22.5
13,24.375
14,26.25
15,28.125
16,30.0
17,31.875
18,33.75
19,35.625
20,37.5
21,39.375
22,41.25
23,43.125
24,45.0
25,46.875
26,48.75
27,50.625
28,52.5
29,54.375
30,56.25
31,58.125
32,60.0
33,61.875
34,63.75
35,65.625
36,67.5
37,69.375
38,71.25
39,73.125
40,75.0
41,76.875
42,78.75
43,80.625
44,82.5
45,84.375
46,86.25
47,88.125
48,90.0
49,91.875
50,93.75
51,95.625
52,97.5
53,99.375
54,101.25
55,103.125
56,105.0
57,106.875
58,108.75
59,110.625
60,112.5
61,114.375
62,116.25
63,118.125
64,120.0
65,121.875
66,123.75
67,125.625
68,127.5
69,129.375
70,131.25
71,133.125
72,135.0
73,136.875
74,138.75
75,140.625
76,142.5
77,144.375
78,146.25
79,148.125
80,150.0
81,151.875
82,153.75
83,155.625
84,157.5
85,159.375
86,161.25
87,163.125
88,165.0
89,166.875
90,168.75
91,170.625
92,172.5
93,174.375
94,176.25
95,178.125
96,180.0
97,181.875
98,183.75
99,185.625
100,187.5
101,189.375
102,191.25
103,193.125
104,195.0
105,196.875
106,198.75
107,200.625
108,202.5
109,204.375
110,206.25
111,208.125
112,210.0
113,211.875
114,213.75
115,215.625
116,217.5
117,219.375
118,221.25
119,223.125
120,225.0
121,226.875
122,228.75
123,230.625
124,232.5
125,234.375
126,236.25
127,238.125
128,240.0
