,0
0,29.661661
1,33.401817
2,33.744175
3,35.97221
4,38.744526
5,42.823692
6,45.848938
7,48.030037
8,49.59649
9,50.49449
10,51.188118
11,51.497032
12,52.623226
13,53.033737
14,53.0164
15,52.21614
16,53.280525
17,54.247993
18,52.560215
19,48.175526
20,41.51167
21,41.161354
22,42.21875
23,42.644497
24,42.684402
25,42.065712
26,41.822754
27,41.637794
28,42.572395
29,43.94345
30,46.262043
31,49.370323
32,53.112892
33,55.468307
34,56.327446
35,56.589302
36,56.059025
37,54.670288
38,52.793808
39,50.32273
40,46.954185
41,41.64093
42,36.72109
43,37.398483
44,38.41803
45,37.996796
46,37.135025
47,36.086586
48,35.112526
49,34.307976
50,33.54235
51,32.90194
52,32.082397
53,31.095581
54,29.936405
55,29.14069
56,28.662827
57,28.369644
58,28.581785
59,29.007824
60,29.417166
61,29.406424
62,28.807632
63,27.967773
64,27.076235
65,26.069416
66,25.091457
67,24.431736
68,23.918278
69,23.476643
70,22.72433
71,22.06218
72,21.710041
73,21.374012
74,20.995722
75,20.55969
76,20.472588
77,20.666718
78,20.805794
79,21.05663
80,21.224201
81,21.440306
82,21.778364
83,22.077938
84,22.253887
85,22.324484
86,22.579096
87,22.671305
88,22.709068
89,22.69806
90,22.377615
91,21.953705
92,21.480955
93,21.054476
94,20.514063
95,19.953356
96,19.660126
97,19.184162
98,18.902737
99,18.587898
100,18.48903
101,18.508251
102,18.482763
103,18.575699
104,18.800877
105,18.94966
106,19.119732
107,19.22654
108,19.255875
109,19.460672
110,19.554455
111,19.458359
112,19.302841
113,18.98722
114,19.02796
115,18.744835
116,17.703741
117,17.12181
118,16.4766
119,15.941894
120,15.487076
121,15.018059
122,14.7547865
123,14.620062
124,14.516476
125,14.518452
126,14.631375
127,14.719397
128,11.720619
