,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,-8.200137
7,-0.517984
8,0.09212721
9,2.4834998
10,5.079772
11,8.660402
12,10.889542
13,12.893513
14,16.134228
15,14.990344
16,20.344446
17,29.595875
18,43.12714
19,49.813366
20,52.8183
21,53.679565
22,53.3363
23,53.335804
24,52.833805
25,52.895588
26,54.372173
27,54.76566
28,54.62681
29,55.43625
30,55.548138
31,54.770134
32,54.443645
33,54.49976
34,54.68603
35,53.109985
36,52.90869
37,52.906567
38,50.013687
39,48.64125
40,47.36949
41,44.517094
42,43.11775
43,44.747597
44,43.437496
45,40.35656
46,40.758495
47,42.836044
48,42.78729
49,42.826023
50,43.464745
51,44.255287
52,44.005478
53,41.36139
54,37.919468
55,39.15543
56,41.78219
57,41.614807
58,40.352043
59,39.303562
60,35.026978
61,37.21724
62,37.384476
63,35.66032
64,33.683887
65,32.868443
66,31.329388
67,29.232626
68,30.601639
69,31.447834
70,30.634157
71,29.495985
72,28.905212
73,28.003218
74,27.941559
75,27.66102
76,27.701256
77,27.774122
78,27.147741
79,25.99849
80,25.044024
81,25.177757
82,25.147886
83,24.793024
84,23.285467
85,21.959282
86,19.643305
87,14.131224
88,17.886597
89,9.33409
90,1.5730356
91,1.5121478
92,2.5988622
93,1.6418504
94,1.306262
95,0.8067563
96,1.7234219
97,0.23756565
98,1.616943
99,0.9875988
100,2.1897404
101,0.37131786
102,0.21579859
103,0.41434345
104,-7.107708
105,-11.298067
106,-13.100108
107,-16.566051
108,-17.275888
109,-17.189484
110,-18.43117
111,-22.777035
112,-25.59306
113,-17.704033
114,-19.201641
115,-24.777431
116,-27.868668
117,-28.301756
118,-25.87906
119,-24.094196
120,-22.590141
121,-24.174212
122,-25.497986
123,-24.222021
124,-26.446487
125,-29.55269
126,-31.197887
127,-32.20612
128,-35.38951
