,0
0,6.7994103
1,6.7789435
2,5.6821074
3,5.7373853
4,7.888903
5,9.664877
6,10.703252
7,11.179253
8,11.622398
9,11.832572
10,12.847613
11,14.525808
12,17.964823
13,20.8733
14,21.837162
15,20.718473
16,19.66999
17,18.937494
18,17.92416
19,17.406525
20,17.27565
21,15.971937
22,12.976729
23,12.144707
24,11.406325
25,10.74857
26,10.91447
27,8.98719
28,5.8738723
29,4.682521
30,6.153001
31,10.518869
32,12.817245
33,14.755496
34,16.528774
35,17.623327
36,18.25736
37,18.688976
38,19.066872
39,20.229252
40,19.906946
41,16.870724
42,14.249271
43,13.1525545
44,12.565652
45,11.201136
46,9.936407
47,10.308635
48,10.884652
49,11.460868
50,11.926481
51,12.431609
52,12.252321
53,12.174285
54,12.182731
55,12.986798
56,13.977212
57,15.845497
58,16.025557
59,14.845025
60,13.866308
61,14.440086
62,15.160127
63,14.857752
64,15.313208
65,16.35995
66,17.505175
67,18.211151
68,18.729177
69,19.183374
70,19.066515
71,19.144922
72,19.21327
73,18.787645
74,19.221123
75,18.933086
76,18.389793
77,18.51202
78,18.530144
79,18.116005
80,18.443058
81,18.972477
82,19.482412
83,19.220337
84,18.325912
85,18.385645
86,19.157755
87,20.223984
88,22.268188
89,22.868412
90,24.014694
91,25.47911
92,25.63378
93,25.624372
94,25.845524
95,25.375347
96,25.13118
97,24.872488
98,24.11795
99,23.46556
100,23.481623
101,22.719011
102,21.472885
103,20.299116
104,19.553936
105,19.603424
106,19.076647
107,18.863409
108,19.31563
109,19.266474
110,19.248459
111,19.477943
112,18.976202
113,18.72769
114,19.003376
115,18.941074
116,19.202835
117,18.58951
118,18.467388
119,18.557205
120,18.83772
121,18.142551
122,17.47799
123,17.361513
124,16.961054
125,16.961462
126,16.994347
127,16.774591
128,16.539331
