,0
0,28.93929
1,35.982212
2,32.26365
3,30.452662
4,30.949356
5,30.787508
6,31.663483
7,33.896286
8,35.344963
9,36.1272
10,36.56383
11,35.75535
12,35.710514
13,35.33163
14,34.592087
15,32.681343
16,32.57048
17,34.14687
18,34.72047
19,34.825977
20,35.078598
21,36.462708
22,36.829678
23,36.732727
24,35.873226
25,34.75141
26,33.91809
27,33.313194
28,32.698086
29,31.113194
30,29.417124
31,27.584805
32,25.79379
33,24.437769
34,23.092955
35,22.072962
36,21.453274
37,18.93592
38,17.953709
39,17.806128
40,17.709404
41,17.878435
42,18.43415
43,19.122406
44,19.547035
45,19.079407
46,18.743616
47,18.370205
48,18.067263
49,17.964916
50,17.786081
51,17.398844
52,17.18193
53,17.075706
54,16.954323
55,16.660835
56,16.338657
57,16.157492
58,15.745416
59,15.61118
60,15.62522
61,15.420699
62,15.201958
63,15.730488
64,15.581599
65,14.827224
66,14.839664
67,14.6590185
68,14.447943
69,14.278328
70,14.108666
71,14.268908
72,14.529066
73,14.191473
74,13.550519
75,13.38994
76,13.411882
77,13.460656
78,13.105587
79,12.810393
80,13.086906
81,13.258087
82,12.969035
83,12.323305
84,12.282234
85,12.466699
86,12.301412
87,12.022376
88,11.65325
89,11.579953
90,11.625542
91,11.5739155
92,11.5386
93,11.4359455
94,11.340778
95,11.375409
96,11.155549
97,11.180635
98,11.004895
99,10.846057
100,10.52478
101,10.617061
102,10.601119
103,10.398878
104,10.240528
105,10.198525
106,11.973389
107,15.582956
108,12.463968
109,9.709083
110,9.539687
111,9.345396
112,9.057128
113,8.829645
114,8.65343
115,8.4737015
116,8.418576
117,8.168355
118,7.6913743
119,7.127472
120,7.0709267
121,7.1030135
122,6.723144
123,6.34962
124,5.6563087
125,5.2593346
126,5.2543774
127,5.307768
128,2.4233408
