,0
0,0.28634453
1,0.6098118
2,0.25116348
3,0.28700638
4,0.06745529
5,0.2643032
6,0.27339935
7,0.3853798
8,0.43307304
9,0.2620468
10,0.04519272
11,0.13203621
12,0.012004852
13,0.12011719
14,0.28796005
15,0.6636181
16,0.30234528
17,0.103279114
18,0.259552
19,0.3251381
20,0.2750969
21,0.42643547
22,0.36931038
23,0.10808945
24,0.7227707
25,1.7772694
26,2.5239544
27,2.3555393
28,1.535368
29,0.6267071
30,0.11666489
31,0.7031841
32,0.84898376
33,0.6818695
34,0.53756905
35,0.3557377
36,0.421093
37,0.8373356
38,1.4904995
39,2.1750507
40,2.9204693
41,3.2514744
42,3.193428
43,3.44701
44,3.7775326
45,4.104334
46,4.2263107
47,4.144806
48,3.9423828
49,3.5518627
50,3.0650806
51,2.737896
52,2.5746536
53,2.4367104
54,2.6421595
55,2.7440672
56,3.0066986
57,3.507928
58,4.081316
59,4.49809
60,4.6099033
61,4.7109394
62,4.9839325
63,5.1199465
64,5.1679287
65,5.2681875
66,5.0954237
67,4.503026
68,3.8734865
69,3.369133
70,3.2110147
71,3.1077013
72,2.740325
73,2.433075
74,2.114441
75,1.9218731
76,1.7551861
77,1.625145
78,1.5893126
79,1.6133232
80,1.6512785
81,1.9734497
82,2.3051434
83,2.5563002
84,2.8369398
85,3.06596
86,2.9907932
87,3.0566063
88,3.1514902
89,2.9979095
90,2.8850422
91,2.887165
92,2.9084263
93,2.7097416
94,2.6505337
95,2.6155224
96,2.2884111
97,2.2195587
98,1.9982519
99,1.8993902
100,1.7192726
101,1.5050173
102,1.3626862
103,1.2481298
104,1.1764717
105,1.3767109
106,1.5061464
107,1.5565327
108,1.8235435
109,1.9983959
110,2.1690168
111,2.327156
112,2.4575777
113,2.6301165
114,2.6068745
115,2.5448017
116,2.7352314
117,2.5873795
118,2.474812
119,2.2055044
120,1.9277344
121,1.6504254
122,1.3337259
123,1.086101
124,0.90117264
125,0.86125946
126,0.6446657
127,0.470829
128,0.52470016
